candidate_id,name,current_title,current_industry,years_of_experience,current_location,education,skills,open_to_work,notice_period_days,recruiter_response_rate,willing_to_relocate,github_commits,certifications_count,headline,summary
cand_ai_001,Candidate AI 1,Junior ML Engineer,Technology,3,Pune,Dual Degree (B.Tech + M.Tech) in CS from BITS Pilani,"git, qdrant, pinecone, tensorflow, machine learning, sql, nlp",False,45,0.88,True,194,0,Junior ML Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 3 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_002,Candidate AI 2,Junior ML Engineer,Technology,1,Mumbai,M.Tech in Artificial Intelligence from IIT Madras,"semantic search, python, machine learning, tensorflow, faiss, fastapi, transformers, rag systems",False,45,0.67,True,691,0,Junior ML Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 1 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_003,Candidate AI 3,Junior ML Engineer,Technology,1,Hyderabad,B.Tech in Computer Science from IIIT Hyderabad,"pytorch, machine learning, docker, sql, weaviate, python, scikit-learn, qdrant, pandas, faiss, numpy, transformers",False,45,0.69,False,101,2,Junior ML Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 1 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_004,Candidate AI 4,Junior ML Engineer,Technology,3,Gurgaon,B.E. in Information Technology from BITS Pilani,"fastapi, git, qdrant, aws, scikit-learn, faiss, transformers, semantic search, llms, nlp, rag systems, weaviate",False,90,0.68,True,1031,0,Junior ML Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 3 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_005,Candidate AI 5,Junior ML Engineer,Technology,3,Bangalore,Dual Degree (B.Tech + M.Tech) in CS from Anna University,"tensorflow, vector embeddings, pinecone, weaviate, qdrant, faiss, semantic search, scikit-learn, git, numpy, rag systems",False,60,0.63,False,546,0,Junior ML Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 3 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_006,Candidate AI 6,Junior ML Engineer,Technology,3,Chennai,Dual Degree (B.Tech + M.Tech) in CS from VIT University,"numpy, scikit-learn, tensorflow, faiss, pytorch, vector embeddings, semantic search, git",False,90,0.5,False,150,1,Junior ML Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 3 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_007,Candidate AI 7,Junior ML Engineer,Technology,3,Mumbai,Dual Degree (B.Tech + M.Tech) in CS from Anna University,"scikit-learn, nlp, pinecone, deep learning, transformers, aws",True,45,0.89,False,643,0,Junior ML Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 3 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_008,Candidate AI 8,Junior ML Engineer,Technology,1,Mumbai,B.E. in Information Technology from BITS Pilani,"rag systems, transformers, llms, pinecone, docker, semantic search, fastapi, sql, git, tensorflow, machine learning",False,90,0.84,True,967,0,Junior ML Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 1 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_009,Candidate AI 9,Senior AI Engineer,Technology,5,Bangalore,M.Tech in Artificial Intelligence from VIT University,"sql, vector embeddings, docker, aws, pandas, deep learning, semantic search, weaviate, transformers, nlp",True,45,0.76,True,53,2,Senior AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 5 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
cand_ai_010,Candidate AI 10,Lead AI Engineer,Technology,2,Gurgaon,Dual Degree (B.Tech + M.Tech) in CS from Anna University,"transformers, rag systems, python, nlp, vector embeddings, pytorch, sql, aws, faiss, qdrant",True,60,0.71,False,692,0,Lead AI Engineer passionate about solving complex AI and ML challenges.,"Results-driven AI Professional with 9 years of experience specializing in Machine Learning, Deep Learning, and Python development. Proven track record of delivering production-grade AI solutions."
